data,classifier,criterion,percentageLabeled,thresholdOrKBest,iteration,LabeledInitial,UnLabeledInitial,LabeledFinal,UnLabeledFinal,percentageLabeledFinal,accuracy,AUC,PR,F1score
spectfheart,ST-LR-Spark,threshold,0.05,0.9,1,7,193,200,0,1,0.463787762,0.50009905,0.194095643,0.227915418
spectfheart,ST-LR-Spark,threshold,0.05,0.95,2,7,193,200,0,1,0.467464233,0.502413865,0.194095643,0.227915418
spectfheart,ST-LR-Spark,threshold,0.15,0.7,1,31,169,200,0,1,0.72477675,0.630493077,0.327426396,0.39840587
spectfheart,ST-LR-Spark,threshold,0.15,0.8,2,31,169,200,0,1,0.738957422,0.645374029,0.348609869,0.426910083
spectfheart,ST-LR-Spark,threshold,0.15,0.9,2,31,169,200,0,1,0.739255514,0.647894602,0.347808752,0.426023392
spectfheart,ST-LR-Spark,threshold,0.15,0.95,2,31,169,200,0,1,0.750284926,0.667405184,0.367606127,0.455913606
spectfheart,ST-LR-Spark,threshold,0.3,0.7,1,63,136,200,0,1,0.723516904,0.588294218,0.296258458,0.343571429
spectfheart,ST-LR-Spark,threshold,0.3,0.8,1,63,136,200,0,1,0.723516904,0.588294218,0.296258458,0.343571429
spectfheart,ST-LR-Spark,threshold,0.3,0.9,1,63,136,200,0,1,0.723516904,0.588294218,0.296258458,0.343571429
spectfheart,ST-LR-Spark,threshold,0.3,0.95,1,63,136,200,0,1,0.723516904,0.588294218,0.296258458,0.343571429
spectfheart,ST-LR-Spark,threshold,0.6,0.7,3,122,77,198,1,0.987012987,0.685865122,0.592252617,0.287648002,0.354439979
spectfheart,ST-LR-Spark,threshold,0.6,0.8,4,122,77,197,3,0.961038961,0.682241933,0.601961892,0.292456924,0.370270434
spectfheart,ST-LR-Spark,threshold,0.6,0.9,4,122,77,194,5,0.935064935,0.681645749,0.589731122,0.281477695,0.352213789
spectfheart,ST-LR-Spark,threshold,0.6,0.95,4,122,77,187,13,0.831168831,0.700219732,0.607918953,0.301265618,0.376693058
spectfheart,ST-RF-Spark,threshold,0.05,0.7,2,7,193,200,0,1,0.790896235,0.5,0.209103765,0
spectfheart,ST-RF-Spark,threshold,0.05,0.8,3,7,193,196,3,0.984455959,0.790896235,0.5,0.209103765,0
spectfheart,ST-RF-Spark,threshold,0.05,0.9,3,7,193,116,84,0.564766839,0.808753378,0.535714286,0.329639479,0.111111111
spectfheart,ST-RF-Spark,threshold,0.05,0.95,3,7,193,101,98,0.492227979,0.800612622,0.53042328,0.271761328,0.105263158
spectfheart,ST-RF-Spark,threshold,0.15,0.7,4,31,169,199,1,0.99408284,0.790896235,0.5,0.209103765,0
spectfheart,ST-RF-Spark,threshold,0.15,0.8,5,31,169,182,18,0.893491124,0.787219765,0.497685185,0.183368471,0
spectfheart,ST-RF-Spark,threshold,0.15,0.9,5,31,169,102,98,0.420118343,0.782755479,0.504088504,0.200030019,0.038461538
spectfheart,ST-RF-Spark,threshold,0.15,0.95,5,31,169,63,137,0.189349112,0.779132188,0.530209085,0.365943827,0.14379085
spectfheart,ST-RF-Spark,threshold,0.3,0.7,5,63,136,196,4,0.970588235,0.794274613,0.511363636,0.325197131,0.041666667
spectfheart,ST-RF-Spark,threshold,0.3,0.8,5,63,136,178,21,0.845588235,0.797897802,0.519176136,0.42721253,0.071078431
spectfheart,ST-RF-Spark,threshold,0.3,0.9,5,63,136,126,74,0.455882353,0.795062429,0.53599754,0.437399417,0.157679739
spectfheart,ST-RF-Spark,threshold,0.3,0.95,5,63,136,98,101,0.257352941,0.782933018,0.558968149,0.300547692,0.222994987
spectfheart,ST-RF-Spark,threshold,0.6,0.7,5,122,77,192,7,0.909090909,0.794153957,0.520833333,0.30436197,0.088235294
spectfheart,ST-RF-Spark,threshold,0.6,0.8,5,122,77,175,24,0.688311688,0.79306805,0.547481426,0.387866213,0.169225146
spectfheart,ST-RF-Spark,threshold,0.6,0.9,5,122,77,156,43,0.441558442,0.797830428,0.57592058,0.428313755,0.266864465
spectfheart,ST-RF-Spark,threshold,0.6,0.95,5,122,77,143,57,0.25974026,0.796379054,0.625552895,0.452875807,0.384047493
spectfheart,ST-NB-Spark,threshold,0.05,0.7,3,7,193,198,1,0.994818653,0.722093714,0.579034392,0.259472554,0.230011261
spectfheart,ST-NB-Spark,threshold,0.05,0.8,3,7,193,197,3,0.984455959,0.733910941,0.586640212,0.267700499,0.238297872
spectfheart,ST-NB-Spark,threshold,0.05,0.9,3,7,193,195,4,0.979274611,0.725770185,0.541666667,0.226829605,0.15625
spectfheart,ST-NB-Spark,threshold,0.05,0.95,3,7,193,193,7,0.96373057,0.713952958,0.534060847,0.221963909,0.15188383
spectfheart,ST-NB-Spark,threshold,0.15,0.7,3,31,169,199,0,1,0.570943786,0.694184446,0.317365163,0.46954191
spectfheart,ST-NB-Spark,threshold,0.15,0.8,5,31,169,198,1,0.99408284,0.560265748,0.687527014,0.31228649,0.463686897
spectfheart,ST-NB-Spark,threshold,0.15,0.9,5,31,169,195,4,0.976331361,0.549587711,0.686821962,0.310313945,0.462997162
spectfheart,ST-NB-Spark,threshold,0.15,0.95,5,31,169,193,7,0.958579882,0.538313489,0.688882664,0.306933765,0.46130702
spectfheart,ST-NB-Spark,threshold,0.3,0.7,3,63,136,199,0,1,0.610994603,0.690263626,0.318238643,0.46737911
spectfheart,ST-NB-Spark,threshold,0.3,0.8,4,63,136,198,1,0.992647059,0.603993037,0.691375018,0.317491218,0.467643678
spectfheart,ST-NB-Spark,threshold,0.3,0.9,5,63,136,194,6,0.955882353,0.607861035,0.694107872,0.320587493,0.470561224
spectfheart,ST-NB-Spark,threshold,0.3,0.95,5,63,136,188,12,0.911764706,0.593857902,0.694802146,0.31782028,0.469216005
spectfheart,ST-NB-Spark,threshold,0.6,0.7,5,122,77,198,1,0.987012987,0.615160694,0.69216742,0.322116467,0.470655864
spectfheart,ST-NB-Spark,threshold,0.6,0.8,5,122,77,196,4,0.948051948,0.615160694,0.69216742,0.322116467,0.470655864
spectfheart,ST-NB-Spark,threshold,0.6,0.9,5,122,77,191,8,0.896103896,0.621917451,0.696135674,0.32464172,0.474129594
spectfheart,ST-NB-Spark,threshold,0.6,0.95,5,122,77,186,13,0.831168831,0.625349111,0.692622116,0.323661798,0.472020934
heart,ST-DT-Spark,threshold,0.05,0.7,1,7,195,202,0,1,0.616462215,0.615368222,0.536564379,0.544163169
heart,ST-DT-Spark,threshold,0.05,0.8,1,7,195,202,0,1,0.616462215,0.615368222,0.536564379,0.544163169
heart,ST-DT-Spark,threshold,0.05,0.9,1,7,195,202,0,1,0.616462215,0.615368222,0.536564379,0.544163169
heart,ST-DT-Spark,threshold,0.05,0.95,1,7,195,202,0,1,0.616462215,0.615368222,0.536564379,0.544163169
heart,ST-DT-Spark,threshold,0.15,0.7,1,32,170,202,0,1,0.718436853,0.721892908,0.645179697,0.693500137
heart,ST-DT-Spark,threshold,0.15,0.8,1,32,170,202,0,1,0.718436853,0.721892908,0.645179697,0.693500137
heart,ST-DT-Spark,threshold,0.15,0.9,1,32,170,202,0,1,0.718436853,0.721892908,0.645179697,0.693500137
heart,ST-DT-Spark,threshold,0.15,0.95,1,32,170,202,0,1,0.718436853,0.721892908,0.645179697,0.693500137
heart,ST-DT-Spark,threshold,0.3,0.7,2,64,138,198,4,0.971014493,0.692916667,0.696735524,0.620013737,0.670459574
heart,ST-DT-Spark,threshold,0.3,0.8,2,64,138,198,4,0.971014493,0.692916667,0.696735524,0.620013737,0.670459574
heart,ST-DT-Spark,threshold,0.3,0.9,2,64,138,198,4,0.971014493,0.692916667,0.696735524,0.620013737,0.670459574
heart,ST-DT-Spark,threshold,0.3,0.95,3,64,138,194,8,0.942028986,0.714345238,0.720274086,0.641435118,0.697880691
heart,ST-DT-Spark,threshold,0.6,0.7,3,124,77,199,3,0.961038961,0.789358178,0.781795401,0.750831495,0.750176665
heart,ST-DT-Spark,threshold,0.6,0.8,4,124,77,196,6,0.922077922,0.786024845,0.779715554,0.741539939,0.748834104
heart,ST-DT-Spark,threshold,0.6,0.9,4,124,77,193,9,0.883116883,0.771532091,0.766895041,0.72013764,0.73712378
heart,ST-DT-Spark,threshold,0.6,0.95,5,124,77,181,21,0.727272727,0.768198758,0.762988791,0.717093828,0.732112125
heart,ST-LR-Spark,threshold,0.05,0.7,2,7,195,202,0,1,0.729412526,0.715689354,0.728065931,0.62019774
heart,ST-LR-Spark,threshold,0.05,0.8,2,7,195,202,0,1,0.727210145,0.716503576,0.724016565,0.626858833
heart,ST-LR-Spark,threshold,0.05,0.9,3,7,195,202,0,1,0.758869048,0.743948315,0.761875187,0.660862775
heart,ST-LR-Spark,threshold,0.05,0.95,3,7,195,202,0,1,0.723876812,0.713915884,0.717774379,0.62866293
heart,ST-LR-Spark,threshold,0.15,0.7,1,32,170,202,0,1,0.795608178,0.793008341,0.736067263,0.771258617
heart,ST-LR-Spark,threshold,0.15,0.8,1,32,170,202,0,1,0.795608178,0.793008341,0.736067263,0.771258617
heart,ST-LR-Spark,threshold,0.15,0.9,1,32,170,202,0,1,0.799231366,0.797175008,0.739309681,0.776854503
heart,ST-LR-Spark,threshold,0.15,0.95,2,32,170,202,0,1,0.802326605,0.799783833,0.741685579,0.778781181
heart,ST-LR-Spark,threshold,0.3,0.7,3,64,138,199,3,0.97826087,0.775408903,0.776028253,0.705655632,0.756681397
heart,ST-LR-Spark,threshold,0.3,0.8,4,64,138,195,6,0.956521739,0.77485766,0.775355597,0.704574587,0.756938374
heart,ST-LR-Spark,threshold,0.3,0.9,4,64,138,188,14,0.898550725,0.767901139,0.769243492,0.695607839,0.75138039
heart,ST-LR-Spark,threshold,0.3,0.95,3,64,138,184,18,0.869565217,0.767611284,0.767983802,0.697440103,0.749125874
heart,ST-LR-Spark,threshold,0.6,0.7,5,124,77,192,9,0.883116883,0.815421843,0.813250228,0.766867906,0.790024276
heart,ST-LR-Spark,threshold,0.6,0.8,5,124,77,187,15,0.805194805,0.813219462,0.811066631,0.761641974,0.788538306
